state,constituency,winner,party,gender,criminal cases,age,category,education,assets,liabilities,total electors,balance assets,total_cons_per_state,total_voters_per_state,total_voters_per_cons
NCT OF Delhi,NORTH EAST DELHI,0,BSP,1,0,43.0,GENERAL,6,92354028.0,40746162.0,2290492,51607866.0,24,49380204,4
Goa,NORTH GOA,1,BJP,1,0,66.0,GENERAL,7,65795623.0,1491387.0,556761,64304236.0,6,3408339,3
Goa,NORTH GOA,0,INC,1,0,52.0,GENERAL,8,14393879.0,1758927.0,556761,12634952.0,6,3408339,3
Goa,NORTH GOA,0,AAP,1,0,59.0,GENERAL,7,19819040.0,0.0,556761,19819040.0,6,3408339,3
NCT OF Delhi,NORTH WEST DELHI,1,BJP,1,0,57.0,SC,4,130937732.0,47897494.0,2378995,83040238.0,24,49380204,3
NCT OF Delhi,NORTH WEST DELHI,0,AAP,1,0,70.0,SC,3,12853787.0,0.0,2378995,12853787.0,24,49380204,3
NCT OF Delhi,NORTH WEST DELHI,0,INC,1,0,53.0,SC,8,44456251.0,79000.0,2378995,44377251.0,24,49380204,3
Assam,NOWGONG,1,INC,1,0,59.0,GENERAL,8,74143272.0,4011152.0,1794648,70132120.0,44,68675245,2
Assam,NOWGONG,0,BJP,1,0,46.0,GENERAL,7,62717347.0,7224404.0,1794648,55492943.0,44,68675245,2
Andhra Pradesh,ONGOLE,1,YSRCP,1,0,65.0,GENERAL,7,266583686.0,91302133.0,1556469,175281553.0,101,159256762,3
Andhra Pradesh,ONGOLE,0,TDP,1,0,61.0,GENERAL,7,916836770.0,129414369.0,1556469,787422401.0,101,159256762,3
Andhra Pradesh,ONGOLE,0,JnP,1,0,49.0,GENERAL,7,13866784.0,2472903.0,1556469,11393881.0,101,159256762,3
Maharashtra,OSMANABAD,1,SHS,1,4,35.0,GENERAL,6,50299295.0,10045858.0,1889740,40253437.0,175,321123079,3
Maharashtra,OSMANABAD,0,NCP,1,4,47.0,GENERAL,7,412022397.0,101327317.0,1889740,310695080.0,175,321123079,3
Maharashtra,OSMANABAD,0,VBA,1,3,39.0,GENERAL,3,45000.0,1100000.0,1889740,-1055000.0,175,321123079,3
Manipur,OUTER MANIPUR,1,NPF,1,0,59.0,ST,7,13709352.0,0.0,1022099,13709352.0,10,9797815,5
Manipur,OUTER MANIPUR,0,BJP,1,0,36.0,ST,6,16891558.0,0.0,1022099,16891558.0,10,9797815,5
Manipur,OUTER MANIPUR,0,INC,1,2,56.0,ST,7,129198371.0,21839605.0,1022099,107358766.0,10,9797815,5
Manipur,OUTER MANIPUR,0,NPEP,1,0,64.0,ST,6,6663739.0,575332.0,1022099,6088407.0,10,9797815,5
Manipur,OUTER MANIPUR,0,NEINDP,1,0,43.0,ST,8,13563720.0,0.0,1022099,13563720.0,10,9797815,5
Kerala,PALAKKAD,1,INC,1,7,49.0,GENERAL,7,6356399.0,2709000.0,1323010,3647399.0,63,82698658,3
Kerala,PALAKKAD,0,CPI(M),1,10,48.0,GENERAL,8,16762314.0,651136.0,1323010,16111178.0,63,82698658,3
